Parameter,Asyn Interface,Access,drvInfo String,Records,Record Types,Description
*SimDetectorSetup*,,,,,,
SimGainX,asynFloat64,RW,SIM_GAIN_X,"$(P)$(R)GainX,
$(P)$(R)GainX_RBV","ao,
ai",GainX
SimPeakStartX,asynInt32,RW,SIM_PEAK_START_X,"$(P)$(R)PeakStartX,
$(P)$(R)PeakStartX_RBV","longout,
longin",PeakStartX
SimXSine1Amplitude,asynFloat64,RW,SIM_XSINE1_AMPLITUDE,"$(P)$(R)XSine1Amplitude,
$(P)$(R)XSine1Amplitude_RBV","ao,
ai",XSine1Amplitude
SimYSine1Amplitude,asynFloat64,RW,SIM_YSINE1_AMPLITUDE,"$(P)$(R)YSine1Amplitude,
$(P)$(R)YSine1Amplitude_RBV","ao,
ai",YSine1Amplitude
SimGainY,asynFloat64,RW,SIM_GAIN_Y,"$(P)$(R)GainY,
$(P)$(R)GainY_RBV","ao,
ai",GainY
SimPeakStartY,asynInt32,RW,SIM_PEAK_START_Y,"$(P)$(R)PeakStartY,
$(P)$(R)PeakStartY_RBV","longout,
longin",PeakStartY
SimXSine1Frequency,asynFloat64,RW,SIM_XSINE1_FREQUENCY,"$(P)$(R)XSine1Frequency,
$(P)$(R)XSine1Frequency_RBV","ao,
ai",XSine1Frequency
SimYSine1Frequency,asynFloat64,RW,SIM_YSINE1_FREQUENCY,"$(P)$(R)YSine1Frequency,
$(P)$(R)YSine1Frequency_RBV","ao,
ai",YSine1Frequency
SimPeakNumX,asynInt32,RW,SIM_PEAK_NUM_X,"$(P)$(R)PeakNumX,
$(P)$(R)PeakNumX_RBV","longout,
longin",PeakNumX
SimXSine1Phase,asynFloat64,RW,SIM_XSINE1_PHASE,"$(P)$(R)XSine1Phase,
$(P)$(R)XSine1Phase_RBV","ao,
ai",XSine1Phase
SimYSine1Phase,asynFloat64,RW,SIM_YSINE1_PHASE,"$(P)$(R)YSine1Phase,
$(P)$(R)YSine1Phase_RBV","ao,
ai",YSine1Phase
SimGainRed,asynFloat64,RW,SIM_GAIN_RED,"$(P)$(R)GainRed,
$(P)$(R)GainRed_RBV","ao,
ai",GainRed
SimPeakNumY,asynInt32,RW,SIM_PEAK_NUM_Y,"$(P)$(R)PeakNumY,
$(P)$(R)PeakNumY_RBV","longout,
longin",PeakNumY
SimGainGreen,asynFloat64,RW,SIM_GAIN_GREEN,"$(P)$(R)GainGreen,
$(P)$(R)GainGreen_RBV","ao,
ai",GainGreen
SimPeakStepX,asynInt32,RW,SIM_PEAK_STEP_X,"$(P)$(R)PeakStepX,
$(P)$(R)PeakStepX_RBV","longout,
longin",PeakStepX
SimXSine2Amplitude,asynFloat64,RW,SIM_XSINE2_AMPLITUDE,"$(P)$(R)XSine2Amplitude,
$(P)$(R)XSine2Amplitude_RBV","ao,
ai",XSine2Amplitude
SimYSine2Amplitude,asynFloat64,RW,SIM_YSINE2_AMPLITUDE,"$(P)$(R)YSine2Amplitude,
$(P)$(R)YSine2Amplitude_RBV","ao,
ai",YSine2Amplitude
SimGainBlue,asynFloat64,RW,SIM_GAIN_BLUE,"$(P)$(R)GainBlue,
$(P)$(R)GainBlue_RBV","ao,
ai",GainBlue
SimPeakStepY,asynInt32,RW,SIM_PEAK_STEP_Y,"$(P)$(R)PeakStepY,
$(P)$(R)PeakStepY_RBV","longout,
longin",PeakStepY
SimXSine2Frequency,asynFloat64,RW,SIM_XSINE2_FREQUENCY,"$(P)$(R)XSine2Frequency,
$(P)$(R)XSine2Frequency_RBV","ao,
ai",XSine2Frequency
SimYSine2Frequency,asynFloat64,RW,SIM_YSINE2_FREQUENCY,"$(P)$(R)YSine2Frequency,
$(P)$(R)YSine2Frequency_RBV","ao,
ai",YSine2Frequency
SimOffset,asynFloat64,RW,SIM_OFFSET,"$(P)$(R)Offset,
$(P)$(R)Offset_RBV","ao,
ai",Offset
SimPeakWidthX,asynInt32,RW,SIM_PEAK_WIDTH_X,"$(P)$(R)PeakWidthX,
$(P)$(R)PeakWidthX_RBV","longout,
longin",PeakWidthX
SimXSine2Phase,asynFloat64,RW,SIM_XSINE2_PHASE,"$(P)$(R)XSine2Phase,
$(P)$(R)XSine2Phase_RBV","ao,
ai",XSine2Phase
SimYSine2Phase,asynFloat64,RW,SIM_YSINE2_PHASE,"$(P)$(R)YSine2Phase,
$(P)$(R)YSine2Phase_RBV","ao,
ai",YSine2Phase
SimNoise,asynFloat64,RW,SIM_NOISE,"$(P)$(R)Noise,
$(P)$(R)Noise_RBV","ao,
ai",Noise
SimPeakWidthY,asynInt32,RW,SIM_PEAK_WIDTH_Y,"$(P)$(R)PeakWidthY,
$(P)$(R)PeakWidthY_RBV","longout,
longin",PeakWidthY
SimXSineOperation,asynInt32,RW,SIM_XSINE_OPERATION,"$(P)$(R)XSineOperation,
$(P)$(R)XSineOperation_RBV","mbbo,
mbbi",XSineOperation
SimYSineOperation,asynInt32,RW,SIM_YSINE_OPERATION,"$(P)$(R)YSineOperation,
$(P)$(R)YSineOperation_RBV","mbbo,
mbbi",YSineOperation
SimPeakHeightVariation,asynFloat64,RW,SIM_PEAK_HEIGHT_VARIATION,"$(P)$(R)PeakVariation,
$(P)$(R)PeakVariation_RBV","ao,
ai",PeakVariation
SimResetImage,asynInt32,RW,RESET_IMAGE,"$(P)$(R)Reset,
$(P)$(R)Reset_RBV","longout,
longin",Reset
SimMode,asynInt32,RW,SIM_MODE,"$(P)$(R)SimMode,
$(P)$(R)SimMode_RBV","mbbo,
mbbi",SimMode
